source_id,source_oficio_key,relacao,target_oficio_key,target_oficio,target_item,target_perguntas,target_no_base,raw
cvm175-seq-0241,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0241,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0242,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0242,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0243,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0243,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0245,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0245,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0246,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0246,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
